leaguePoints,rank,summonerName,wins,losses,hotStreak,veteran,freshBlood,inactive,summonerId,puuid
1568,I,BiIly Butcher,760,668,True,True,False,False,xYeTK4KTpN3drkMQRQ8Wm1CWxLqDpXeBxU4JXuYmZ9WQcKU,HnmbJaflh4CpOjhGrYpZqeH92bOEhm87X-ZoJ8jIaiTh8-Rl5InuO7FIkhCRvu_KHrXmNYrGtyz0sA
1533,I,RGE Malrang,363,289,False,True,False,False,L1lRR75lmV8OsHgk0f1iadLaLVJGNtvJSmn-Xj2U8AefV0Xk9ZkQYcAx5w,-XGtUJcPNCcYGqrh8Ya_blbnsd2HRIPjT15pfxmv2d6jXr4wroAMf8pwIN2-Q_88mwTLC_YBAtEp1A
1514,I,SPKTRA,383,301,False,True,False,False,sX1uX5yLIxD_2RFN72Eq9FsEQVAUyEIS8U_cB_LE5bU0RX1h,KafOzGkc4qJ5rbDwcmjFQQ4GAVWZcV1-aQHkJ37S7NvnPxcD8hq7_rrbNrEG9cYr68HyVI1EBSzBEw
1513,I,John Wick IV,161,95,False,True,False,False,Y5kQu60P6Fh3ovdp5Wv_zgf4TWekgfp1hUCxgErkhWZB_eci,1A5PIaOEHcJTawVo4-AwLWSh2ekb56nyJXJVBFTvXYZfUluZzGVySeeVzoya0Wb7nAzQzDq5N8aBBw
1464,I,FaithXD,206,151,True,True,False,False,xqPSXJoIcYTLDtm3FSVusR5EXenkhX542Y2WXFDARFxmxQ3L,-kusMUvr9Naostsph18XqhwPKVe8GotHc1PQaT1zG1TtUdF0Ph-720Yvl4yTZqtDt9vxKpg0r0_-iQ
1452,I,supaaaaaaaaaaaaa,683,598,False,True,False,False,H1A6RGf4ylCGNGd1mAZW7rVMh5HEA_Qi04CZbBYQM5vwa8M,sp_E3oH4nPv3qwxQcfl1R7hnm_71f8YKvNRimI3m4zpiXJirALGaGI4iPBTiDInUegnnoUuP4BtuVw
1438,I,ViV SkewMond,420,336,False,True,False,False,_cWSRjB_jQpiyVqYluEfYSxzrRHkRakoS9Wa4mFz8G2PIfo,kDq_EKKVMFuCVT_gkF6DBIl9kPXy0Re2cxWaF8Jnz-YmxALpQmQFv42mDWA29lf7kKxHFKcirMbHKA
1420,I,FUN k3y,395,306,False,True,False,False,LU8swTpWjZVE4gLOlicqHmSu17nD5N7cVKK9s3epq01xBec,0R5T0LJYOT3ubzu-4PPuNfwpE_Crq4-Ph_c460shKFMQQ6PMLURNlNFtRFSoMlz5BvzHgRpk7p822w
1415,I,Ttv Lathyrus,239,156,False,True,False,False,gJqchVCIIljZ6KD5SZWjm5z-csrmnyEv4YwbnodPmUQHljB7,rujE0yNHTMwuz9iW71uR30ro82rwRAO6o8jItwoJC_SWgWflYtI2O8bZTuyKuwJbZHpBASZSZUxe9w
1414,I,FIeshy,556,474,False,True,False,False,q-ySDbXlfPZ0ZPh08wHgfX7tdJ5OGSzDrAzBHvHYzbnecl6RorMlUsylYw,h5fkIH3nIMCtXCN71vtPkVipd7VctQ7DU1y2ylkzuI1JlbXIUUfMM6rO7mGNRq2cwIzex0Mymhg0Fw
1413,I,fKing Sinerias,235,180,True,True,False,False,cDX0m6ffm79GD5WtwxAictwoe4CbLw6UBkWd4JYDlbqgcRfy,4FN6V44eM9VIpHlPD311zDWgPYBTRuLRlTmMAW4PXTdKOn0Px4nDArrVGgbry2wIX_taLF30UD8ofQ
1406,I,elramir 2,437,345,True,True,False,False,uJqcpQSp9cT8smt1puw--BgrnXcBQIHf8fTGCU_XJC-fBOI,uKPpooy68Nhb14qx9Y1cimv4iXdTxaY0TN1OzQYKzFgdT19ui9cJmXmvL8EGN9HbrQMrx--5vk5ncA
1394,I,Mountain Wolf,316,232,False,True,False,False,dDx52dKhFBSwNwKVZlH21YWg6JN_PkEtH9NUvxoSIJdqIgGB,_mtWtBBJ2r0m12_tZ2hn4UQ9ioM6aIUR4jl5_juKXkfEVjfFUA1g2R1h25c7WUXxT_5tDPKmaHukRg
1375,I,Lathyrus,482,407,False,True,False,False,7hPw7reiBrNOAItizC56LWWU68Uq3uHBVFNGAnWdo9KA9fo,Eg6S5Pj1NwaVevcVTwJaHcHQ-MwaooVvn7NDguJTjsEoUBWa2tN6VxAHO317mvBEWn_ISbbRD1E6ww
1364,I,be like mike23,445,363,True,False,False,False,ehxaF0bIjxubiea953wzDCAAJUitsUQT9PcrYEEYc06MeUfJ,jXa7FlmzxhTgM6b69sPWiYUsSKqdbDZt4Lu3SOiIL2KBK0Obbsw5AqkcBfZezLlLGEFRIRLqAajNgw
1354,I,Razørk Activoo,360,283,False,True,False,False,LDUZSa89NBTPuOUcscFrioTvcWaqDvPuHbW2xwNgMrzrF-o,GsJz9MisihRgXbYkAk0ID9kARtNFTZGlJ4bM0PUOBWMqeAR9JrkMXxJ20Ag-Xj41Skso10DiXJKAxw
1337,I,zhypey,130,76,False,True,False,False,1ln31KewBTq5SIH-e5XpiCx5zXkdMc9BfjEjh7Oyk9mZ2Nr-,jAXawf0b78FIhJg1V75CQj4JR6XqwBDzFG5FXvK3f-iD3PNcp2_IX8n-py1u5F5Ptrp8sXBqTxdbfQ
1334,I,AHaHaCiK,768,692,True,True,False,False,sIQD1lVgmDyAWDyuRzjiaLCoMnpnwGqwHOYMtlZPeZ5cSiI,Wu3w4Cxi20hbLo5gxFBVcsSmOB6wiP7vtVEmR9wXwwhR6WC8kOFjgM8FjpKO2HqoDcDAfcKDnEBvew
1331,I,Don Noway,479,402,False,True,False,False,xczebet9JqAyq9uPT88HHFIbSTBRuUbwfJZUIRlkSZEk1sc,B9rqFpm4LrDqkM8DLxO8SkR-QnTA8QYj5s4ckz9SNjm9bihMhER1vRR97c67PhqFqE-DTVhQqsrO2g
1326,I,TakeSet sama,429,357,False,True,False,False,cJpYgpGDqi3XD-ag5LWVq_qsjJodqsaTJKxYjC7NyazWED8,RR8DeiBhhAs-SIZTePcOiY4IybBGKsrjuUHfELL8QCrOjZsF37ZPPPbLyYoIAq06yZeMYpLLGx_pAQ
1325,I,FEB1VEN,327,278,False,True,False,False,5iXwxKxeP_hJembaYS8yPi6mLBpneUk7qD8x8oFXjsDcgml1,OFPWlSpGRkRZTzTnOOjoWKg2KOw6bWuFlcdCwEWcD2T4Fkso86IPJI7RGVzqK1prO1xF79om7XbbxA
1323,I,Puncture Wille,275,199,False,False,False,False,pV-WxpQlL_h71GlqCffcfYqtv_FBHf4kIdcxdc46hfUwceE,pW8tq-Qa67zD_8uHOH2NIEkaovmy65ugjtl-4f1Il9JlNCWbYE0dgZmTATr_O-GfwfsWKOXJbtGtsA
1322,I,Kalista,209,121,False,True,False,False,tw1tIjav2Kgh4WJ4VftvLAKltHBvX1oT-fkFDhC4u3RHJUJP,ix4gE3gajnJS9gr9ADGVMUwVJRTRtSkZfDf5ZNK3_GuMaNMqcAf4TJ-DGILngSv8iR1R24OmyfrLsg
1316,I,Agurin,566,496,False,True,False,False,kqRBNHs818GUWCOMfvZ_t-8mmGkKJ2cFRxSwQkYDVD2zJdE,uvoNHAzhXIrQt9iSae8T-YUFyofywVN6VJwnv40Vj2YWjIKPQa1ExHg46HReOOIx-DZzkZHCBgcDyw
1308,I,LFL SUPPKING,1021,949,False,True,False,False,LFx5DQci_FDH08s6G8jnCj2PtpMRj_FkmqV8QGlqKOX9WR-h,NUBMs4Z30bdw6f5OAicaoQA9ZBxbSehDmIgbV1DZQabRY7d7QqUwjoJy22KEJsIoG0FTdVPOSqWTdg
1303,I,Jαvier,559,482,False,True,False,False,7pIHzZLMZMMcerOzVE-Gu-H9LOuq8w73HpQumoSRuw38LmY,frEaqIYHG3NcPnqBOzj7RG81x1xmXthCQEdJZE2TZQU6m7_mkfNcYeDPLFzM2H7I_7CqyGfnH1af1A
1300,I,Odoamne,525,456,False,True,False,False,DbLuoqdr8h71TKhQr5p7HjwzS4k8fXZD9gSiE0N8URLtey4,m3f66-zwWNsnLKO0u_uuYL--hws3F7acvVlTx7jHtFd3hwc8txfoJhmUiKlaf6LhWNyayNl8dM3M4Q
1299,I,VELJA THE MENACE,333,279,False,True,False,False,jL1hmY7utIKRq1WDtVcblA0FUnwaRgyRL4Ez8WF8k6O3wYKU,rmmZSYBoXaM5TPDKPM2ewGT-5XgOo3fPOmW9Kwaeq474MhV78JDayqeIV8xG1TYxWP0vo2kckyMQ6g
1295,I,LiL TommyG,710,630,False,True,False,False,2PvnVfvqojqBsAg6HM_dFTjP0qlryqDlwqbP8uJOzIUFO8Q,zewMizkya5YKvubDPjWxkWi5nr6LFaYe96Ca7tC6J1TRWc8AA2QkQnYO08dJnJAlKc53Ikz6sWmYmA
1291,I,RRubyLOL,515,431,False,True,False,False,FaRP2aUOi2ySQyJIQ_Lxf3YSxkGMcIO-fegVNs7w9IY9GxImeyhnqxaQhQ,Nl1xynH6IwnUu9FqbSfpFkkee5rxewXhOqDtmLm2_UX6m7g9QRApMCUlXOgs1V0QmaV0MAHyJXC2ig
1288,I,Voidfiller LFT,131,87,False,True,False,False,hiurcn5wge3D49c609_1SCXlnvszs4uMcrMpcoFvXCVPLxnT,ueNV7WcnzbDf6ZHUtRhHI3vqaan2cwEWN-vC4PNu2i21SNT8ant1GHvsSFfJEag5ZmBWHBhEjynuVg
1287,I,Skeanz,802,726,False,True,False,False,ythuJpuKM4RW9PIZkdBcQ51eB_SxAQ9qXvfZqkZwd6RtWL-5CGll1U4xIA,zJrvJkuRB-qs5M_FY4y4KvuyR1ja1hsiiGPBN3k3XOFuSCUr1Emtppq2xT8mhAs6SBTE7PlwNCJckg
1285,I,GIGAMENTAL69,460,395,False,True,False,False,pZXMJXEtWV3nE1-tmh97E4fFRHT8Y634z9kK0nAxuBvn96R-,ozQ4WNN0sLM-QZuFqO5vhtopMpUBRnByNtSfeRMH-no_kow5wIryer9ClT0N26_UxiLOR3f5_z8ITA
1280,I,Mr Tickle,349,268,True,True,False,False,DZOUFlT6C610jtJaVa_5glDw3zUXQuDgFK9JUESDWsvy-_8,dOiM7kvjpiABXWLbZIfbYUpZ-VHhDvl6rIx1Kjx7MwzLNoFnCw0yiYiDcyDY-UTqb3fNQ8qbUvS5Hg
1276,I,Finn1,666,598,False,True,False,False,rHHFu6SqA6_qr_8QroUyfApa_2Nj3Yz1XVOeuWOgwSBRleE,Rt-v_JJM-UUpk2ds7F-vfoi5W_UFJ1HxOE-W9NDL5zQLylDXHIcOGJqrHy57Ap0sVM46adIhJxBxaw
1274,I,Targamas,514,444,False,True,False,False,j7eHaXxyVYLLNn15JsbCioKFVsmNT4Bze8qevoz_64QkNno,QYL1XEdL-7VZSdxhfKmtmd-8oKgjwtwj7evrV_3ZxZwr0SNZ0qBtdQBDJvldxMLlRauYCi9MAe6YDQ
1267,I,SHERNFlRE,502,439,False,True,False,False,a5S8F6VCtJEP62Sv3NsxYj7Lba7sr-GB84mfeEfcDqgEhAF1ozVdRw7c4w,QBgDdc5Qu_WzfpKrBajbq2O6km5kZ7TcpbG6BCP6E0LrE8J_ErBZ10_oxKaaoBysmIFAecxin3UVSw
1265,I,BlauBarschBube,386,315,False,True,False,False,gVeqNAJjGeLSS8Otjr79ydA47SZ7to0hL1jtGF1Okaem1Ns,RCGykYu2JA5KxTRwCU7YlcLIG43QZ0PhBxzZ56Xkiek0zuEdleBZhchzX-qMkFzzY6RxMYz8OMx11g
1263,I,LORD MERUEM,249,184,False,True,False,False,Reqn7UIh5DMFf0f5nO5TzDBhEQeB94Lm_BE5-MCkqAEmZwKxIk79jYBPPQ,3YdGDZgLuE5bOYZiWnY_CpGLepUvyt7j6s4sC4NjrrbTB8cogRfoFLkFoQyteuIIafUI-Y9tqAy7PQ
1249,I,Yikeru,309,248,False,True,False,False,c5yTbMYVuCcvIYN_ORN72rq4udF1jbwot2_-X0BwOfptTIqU,vwpiBfMGLPjptm-elJ49kOUTn8uXzMqnPsOyhwyQPv2fKQls1hLDY3U7iQon-1V7kX1ucX7qbQYiIA
1245,I,MagiFelix5,812,709,False,True,False,False,NOwcnrAy0PtQ6H-cJ9vfcCG2660GjCoIBk45hRBOY1ynI4k,TgRh0BGST3NlcicgEngTmzz5iNPqKq8tlq2U9ro3fsR3g_TRrMBTaWiAC08ECcyR-qnt4OLdzF1Jcg
1244,I,Stor Olle ,116,63,False,False,False,False,WgdI_ITI00fl4zyr_LkGoGJ7mYREnTEq4GG6NeYQigB4Dm8,WTCSQAtiQxMCAmeuAEKbi_lntnLdwBoo9o1j44g40AxUu4We3g_xzJp072vMUmNVNgFUjUD0dJqoTw
1243,I,Seelame v1,350,278,False,False,False,False,0g2ippk1IGQV_oQbbBALFN2nqC4Ngj_AoSu_YJzv8NzfVsY,wRPllTX-jdPMcZ2_fN42deVfe2GwtEj6e47dqcX11H9zjy7PDRETBYyZtTSs8cQbS5os_bTgMsNOCg
1241,I,gunshotgun,153,104,False,False,False,False,-Yy3Ykcyc4Cw44BVdF1RClxJtep5tLcDH-4AJ-DTabNGIj4,H2nnSLtjb_WmFpgybKQxUJBNORdg4fw4Vubt48FEWk_ulY1xQNjMXOB-aAllxv2MouHxS63BIg0HvQ
1241,I,Tempt1,537,442,True,True,False,False,4Xv1fxSWiR_sJHwNcBBndIqMNFCydogWoIkvsMq5qHet9JE7MsVhkOhSdg,4dDE6fsl5O44qsjmph21oC0OZqZZWtK6d5BbCF3I_pYrn4UshSOLjjRE8GWfuf4P-5Irk6S5EVNZSw
1240,I,Keduii R1,827,759,False,True,False,False,141sup70sjwGNfdWk5c17CiD0DsfLC-gEFOylMv_EEP4688,ei0ztORx1rOXyA2NVrsq3S1X5qJpIyjqDDNnMhsYskkdZiFM3OS-mth2U3HlSyl8-0ldU4-6PMP1rg
1239,I,BSC Coldraa,206,136,True,False,False,False,_azAc2Eh-MrYeRmZv1xC-tTQgG96mvhmF_hQIsCeYeygZx_7,WBDXbQX493enUqPKN-4Kgne4U34AOfWYBTcKarsYtcHWeWfYm27xQv2BcYUmMgRZvST72qswcovwPw
1235,I,Kirei sama,449,380,False,True,False,False,nVBC2wEWtaSIblvkh0ap8dA7HSbZcwtrVWeaO1la9SDaDRM,vAnMT6n6xSrejWzFdYGXxHxfzVwcS3g4V8Z3JHwq0yzHPSlsQBqUV13aWAgCVZ2HZRVYk6221_PHoQ
1235,I,ismααα,437,370,False,False,False,False,kvxcOE4zOl-h5mJfZo90w1g_48jFqv2EmJhaJ2UoUJiBgDE,IABnGHCua0wN8yuNvlURcdwUfomU3Rim4kRzAFyRb8veFh-GqgLX-_uU_1WQyPfE6Ugbk5eSKJy6Jw
1233,I,call of power,311,246,False,True,False,False,9iyY9_mnxHJbYhsiUTJY8x1hQTrCX1qV86SnFmr_Ecj9DEn0,qhjy6vSbg2yawpkDFo3Bzkxuzdq0csmHaWsim2Xo5TomfTqlL5qKyii-RJxhxKY1ewLjGuD9q4qtoA
1230,I,Tοαst,783,702,False,True,False,False,v89V9uxT5M4GxQ7UABks12XIbTMmf0z54jQE9UnRx7WrsHya,CLHw63Q-3ifUSAvt1bbtM94Ibv4CxUggrAnCCPv4BNloiIhKQyGfroR8V0bR1XTWnUT0JXOUGmCoqg
1225,I,zafccp,395,321,True,True,False,False,sF7f7N3yPAiAx0vuysE0BAihH9J2wKrZVTolOCw1Zib-1rzB2Uaj0oc66g,_CADich2Pq76WAwG0jwmw9nXuvFi1SSXxX7SbV6_QmVJF7l8Fb7W46IRRlxlslT3o-UCFo7DitBJlw
1224,I,Mαster Oogwαy,366,318,False,True,False,False,MbVi_lHI36ojDqdk6oiVKC1WFcGmnGwT7_8SMcIGdqtYKkA2UuY5fTT6mA,RRkZHPP5w5oyUXRwNu5V8nTn8voDt0yxzumt4RK9qNHC3d6ArT9Z-W2gZv7BvYBEqcKg3wgFn-6l8w
1224,I,SAAKEN,398,335,False,False,True,False,lK79x_Z4Wnjo_b53KopBRyJjT6SX0TRjgP36AcP1oTmxeho,j8iRYPHs1EYRWaJHAgwjnKXHPUz7pAaJV_jVrhezA_DUlhaKnz5-A7dkuEUwVLQIQAe41UTTIbpb7Q
1220,I,DizL1,320,251,False,True,False,False,R3dBpTzzZQGVxnIoEWHp6nZKYnIrQf5CSyhAHpubwiPZPNo,KYUAy0WZ32Npuoyot6_kI1gXGr7DI-3wIfzZxzmoTq4MbdLBher1CCXdcaWxSg6VMgK_4mRuNjI76Q
1220,I,schifosoèmerdoso,883,760,False,True,False,False,k1hR_jMkR3flaXcVNAOh4OWBEfzEzGgtipT57IDfDIgSAt0,590-gwNK7Hkucpro5fiSLTqR_uinoPxN8vY3lQAU5juebFTY_wvtt6R4CWxpcJpA_yBwy8wISIMafA
1217,I,Emerald Dragon,138,80,False,False,False,False,Z2XGzbXf76FVNUJ03JbmNIPgolOzhLnyh7VGhfRKLwpxkjIv,3r5DfK1ZO_6cRI92298jECUm2psYIduRBs0Wo0TQGdHqJ5kXOkCuAmxb7dsZvWzRWzo7GP9WuGtqEA
1216,I,RΟYΑL,349,251,False,True,False,False,RR6tycri5655iYnuK431XUgIVpaHjMn_MuC6amBPOc2xiz79,t0MA3RE-BTD1MVVIHOj22hOkmipPU2CmG61Buz8XnTgmIdL7OFC0uDnhV-4dVuMMb-H0DYBOBS8QgA
1212,I,Szygenda,176,113,False,False,False,False,fH7u3QVi7zdROpcGohiGBDbr_YlaaWM1n4CsekxLeUFE0Fo,73LaoGbsQ0CyTBRvFT8GJdDlfWX9VX2U8Dypayu3vekM4LIDRKEO9lBPbi-C5xmPoyI5GHASFqAoFw
1210,I,OnlySpain,294,229,False,True,False,False,QTVrf3kCy2RUfTk9pnH3uuaTFaOq0nV08uKJVCzBRhN1dw4,blnhduyu-7tNQ4nYt87cnL8cANJx6ct6ECsqtqnrIhZEf5BUcDqHTbuNuBcneg91OmEu3fQKwvQntg
1207,I,olaksfhijdf,591,523,False,True,False,False,Dg9YI5L9gdfXTYnAotyLu75CZZSzrnVB86QZTIAcuXqtclo,x5CvUgK4M2F5VU9OM1X0JbQV8IYFdiggkY1ypZYF5UrCcqtZvn73otX7MdgDGpYCwEelcC7PCzaxNw
1204,I,TTV Regn,400,326,True,True,False,False,gHFUsVF0BY3MGIOgYGTMy6b7KohlkGOFSHIwSGbeiZINweTz,4-zEc2SRbVtd6XSEQHpEIbH3qBlTUFKr7uxPlersjr9A38YmvOVpUJh9Q02DaByDeceb2mQemlVb_A
1203,I,Peng Mid,275,207,False,True,False,False,guNZJLcKRc1dwN8V7-iwcpfFFoAMd5IoyXFaCe4He0bILy1f,_fLifx8Zc9evwdcYi1d7FoCtr6cTwJF0LwKPti9mQ2T5Zg9oDYbZmzx3qCpU0aJ_8QZhBH3dz1jq2g
1201,I,UNFORGIVEΝ,337,304,False,True,False,False,zo8fREfLn8r23jpfJ1dVNRb580BI1dSjfGaJ1Kuwrm9h_CQ,EuoFyuSXsL4cRxh_Tjbdj02KgQmQSAtELynl03qvqBK08X8uNEkx1mFPGhI88hDiuOwMyJPUCzHF5w
1200,I,Thorga,825,758,False,True,False,False,hTkHFiqpiy3qCU0QBR3UqJDHwvcuOzhSLDGeEOxOpCPcGp1e,CzzUM4zC--gKL4n78P9XzkXET4A-Xw-1nf5b7wZ6bEm-tcGrOMRac52H1aXl61Q7OwbGVgnI0gAwjg
1198,I,CzekøChad,159,124,False,True,False,False,pL9q7u67Eg0XD5bw_P6yo41MunD59mt-FXxL70xkvs-r07I,CVitW-Kl6anqCB76n4aG9_HaSjHh5jTgXlZ2h4AScB6yot53MZScA_JGzSLC7G2JFQ5LbLUROWjctQ
1192,I,KHK Crowno,625,548,True,True,False,False,TXhoLSoDWZbH1y5iAhG5lhacV7f7GOzdASqNMlXCAUDU1tQ,EcOP-NEJCb085rVOyMiQXuyE5Dy1M9V_UoLlgrwL_nmo_C6YKrDNpKBvcIvRP1MMdbZNtSMz_e8zgQ
1192,I,RaiderGO,291,266,False,True,False,False,hTUNUt702Q2M4pWK2DkYVkykugbE2ApC4tX-klHm1oC8Rxn09hEnNxeZhQ,uaPaYuj6EriRy7hZhAFa6Ya3u68uwIEjO3kOTcuJAmjZjMhKhANpy5sem1DxaW3u6_0Vi7XgltuptA
1190,I,Flying Colors,341,247,True,False,False,False,KjRYmyzX_HZOY4_-Kwt8U6uP7YPsWuY4UgcpTmhR7-I8IZJvPWxiC0mE8w,aRcY5yWDmcREDUuKleZw2bCtU4701V8O3YbC0z7-2tAxpltYCQI3cWWVhy9rCDvWw8i2U34L_YlScg
1185,I,MetroArcher,709,645,False,True,False,False,ns66l-ctWR5ILbe7qIj5RtR6NZ4-EiexlgLVNORNZkvM8bQ,4_7tzpoRSDtYNTy0e3IdI5i4TvrCMtfMhT_7gFcScvynNLiYpVZetuLLmhYk4qhBje2zL8ogzTBCGw
1185,I,Eliza Taylor,190,127,False,True,False,False,6wU33Z1fE5O57s1K9ii-dkVp_OUFayZgWOQCgGIk0CwvFsPeqx2WrDYoiA,afFZTdew7E3bzWRrshQiFT3eQhbcIBaOztvuyCPMlaav_PQHra0FvSXcdhlQ08A8_gSsRUJz6Uurtg
1183,I,Maynter,384,316,False,True,False,False,avPpMHpfB6KsODCGm87jcjw-ksk2n4Va1HpkCgwtdjY7Urk,sHP_ERyH3D7SZlaw4ejK6o25hNTF1qX0Yt8eCYzfsgeFO6h02pUWlbYHz-lNiA7uk6aIArLCb7bdIQ
1182,I,Built,296,225,False,True,False,False,adB-Kmb7GPjSiwkx3TUTwoAxoW2d1x-EX_EL1ovhajbWhHNC,POROudagMfXpVdDrip5HcTrkL5Jj8rdCqnWYG1LAffpBUCETYbtAhnAkGk-dUUqBtbJmC28rkj03Tw
1181,I,Pride0,204,146,False,True,False,False,gUb76_5GvMV9dRim_elyRKZja2MlLj2lEokuwE6acIJ1sIpjTh9Whm81lA,Lq38kbqIeVuXwAbnUYlK2F30gaJWuoHDxbnelh-_NfWkmTUeEX5wQM80wI-BjVAb8wv5LztpNIUV6w
